source	repository	revision	bytes	sha256	path
hf	drowzeys/keys-heretic-MiniMax-H3-sol-engine-more-DGX-Spark-weights	2e4f1dbbbc3b42a6c92ac685aa5c4a060c32b05e	20970379616	e889202c41dafb67b10d67b97f0d8541508036a6090af23425a5c2615d03c47a	diffusion_models/minimax_h3_fl2va_pruned_int8_convrot.safetensors
hf	drowzeys/keys-heretic-MiniMax-H3-sol-engine-more-DGX-Spark-weights	2e4f1dbbbc3b42a6c92ac685aa5c4a060c32b05e	20970379616	9255f52b6677845ad238f20dfaafa94727053694127ab7f255c048f0f9365779	diffusion_models/minimax_h3_ref2va_pruned_int8_convrot.safetensors
hf	drowzeys/keys-heretic-MiniMax-H3-sol-engine-more-DGX-Spark-weights	2e4f1dbbbc3b42a6c92ac685aa5c4a060c32b05e	7609128707	b5bb9bb8dc87cf11cbee241a2d95d6d42fe52cf695ed26c093ac321f31160b20	text_encoders/H3/qwen3vl_32b_h3_generation_tail_50_63_int8_convrot.safetensors
hf	drowzeys/keys-heretic-MiniMax-H3-sol-engine-more-DGX-Spark-weights	2e4f1dbbbc3b42a6c92ac685aa5c4a060c32b05e	26363476151	d84547412144b7c50a6ec77437a889b869d3ace88da77ef1775d3d2a4901c192	text_encoders/H3/qwen3vl_32b_h3_ultra_uncensored_heretic_int8_convrot.safetensors
hf	drowzeys/keys-heretic-MiniMax-H3-sol-engine-more-DGX-Spark-weights	2e4f1dbbbc3b42a6c92ac685aa5c4a060c32b05e	15687142551	35a88d51044231fe332301d7a62aa81e3f2cba62febeb446e2c1e3e0ef76f2c6	text_encoders/qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors
hf	drowzeys/keys-heretic-MiniMax-H3-sol-engine-more-DGX-Spark-weights	2e4f1dbbbc3b42a6c92ac685aa5c4a060c32b05e	67061725	49fafd45f8fd7aa8d31ab2a22d14d91b536c34494a5cfe31eb5d89c2fa266abb	upscale_models/RealESRGAN_x2plus.pth
hf	drowzeys/keys-heretic-MiniMax-H3-sol-engine-more-DGX-Spark-weights	2e4f1dbbbc3b42a6c92ac685aa5c4a060c32b05e	67040989	4fa0d38905f75ac06eb49a7951b426670021be3018265fd191d2125df9d682f1	upscale_models/RealESRGAN_x4plus.pth
hf	drowzeys/keys-heretic-MiniMax-H3-sol-engine-more-DGX-Spark-weights	2e4f1dbbbc3b42a6c92ac685aa5c4a060c32b05e	605254808	8e505d95dd1561d47abd43d4238fd40d9bb1ae9e147ed0a4cba778d76ae4db48	vae/minimax_h3_audio_vae_fp32.safetensors
hf	drowzeys/keys-heretic-MiniMax-H3-sol-engine-more-DGX-Spark-weights	2e4f1dbbbc3b42a6c92ac685aa5c4a060c32b05e	5207808496	7c1f131492e7eddacaac9069a61b81bdd39de5cc96561e677c5eab1cdce5e522	vae/minimax_h3_video_vae_fp16.safetensors
modelscope	Comfy-Org/MiniMax-H3	0207c9bd588fa1f060aafa9bfe0e98f46056ae5d	51506295256	600d567f6a9629c8574e8e7041b199bdd9c59a986afa7906910a81919610607d	text_encoders/qwen3vl_32b_minimax_h3_bf16.safetensors
modelscope	Comfy-Org/MiniMax-H3	bf9601f6646f8f974f086c22b0178189052b05a8	27141342152	bc2ced0fbea64757fa9acddccfc0b3f4819d1dcf1da6c124d690d368be283923	text_encoders/qwen3vl_32b_minimax_h3_int8_convrot.safetensors
